iteration,fen,heuristic,tablebase,depth
1,8/R7/8/8/8/8/8/2K1k3 w - - 0 1,15,11,6
2,8/8/8/8/8/8/1R6/3K2k1 w - - 0 1,19,7,6
3,8/k2K4/8/8/8/2R5/8/8 w - - 0 1,5,5,6
4,2K5/8/6k1/8/8/8/8/2R5 w - - 0 1,15,17,6
5,8/2RK4/7k/8/8/8/8/8 w - - 0 1,13,13,6
6,K7/8/8/8/5R2/k7/8/8 w - - 0 1,23,23,6
7,8/5k2/8/8/3R4/7K/8/8 w - - 0 1,15,17,6
8,3K4/8/8/8/6R1/k7/8/8 w - - 0 1,25,23,6
9,8/6k1/2R5/6K1/8/8/8/8 w - - 0 1,9,9,6
10,6k1/8/3K4/8/8/8/1R6/8 w - - 0 1,9,9,6
11,3R4/k7/8/K7/8/8/8/8 w - - 0 1,11,7,6
12,8/8/8/8/R7/2k5/8/3K4 w - - 0 1,17,17,6
13,3R4/8/8/8/7K/8/8/2k5 w - - 0 1,29,23,6
14,8/k7/8/8/K7/5R2/8/8 w - - 0 1,15,9,6
15,3K1k2/3R4/8/8/8/8/8/8 w - - 0 1,9,9,6
16,8/8/8/2R3K1/8/8/3k4/8 w - - 0 1,45,23,6
17,8/8/4k3/8/8/1R6/7K/8 w - - 0 1,49,27,6
18,8/8/3k4/K5R1/8/8/8/8 w - - 0 1,21,23,6
19,6K1/8/8/1k6/8/8/8/2R5 w - - 0 1,23,23,6
20,8/5RK1/8/8/8/2k5/8/8 w - - 0 1,25,27,6
21,5k2/8/8/5K2/6R1/8/8/8 w - - 0 1,3,3,6
22,8/8/8/4R3/8/6k1/8/2K5 w - - 0 1,21,21,6
23,8/8/5K2/8/8/8/6R1/3k4 w - - 0 1,19,15,6
24,8/8/8/8/5R2/6k1/8/4K3 w - - 0 1,15,15,6
25,4K3/2k5/8/8/7R/8/8/8 w - - 0 1,13,11,6
26,8/8/7R/8/8/8/4k3/2K5 w - - 0 1,17,17,6
27,3K4/8/8/8/8/R7/8/2k5 w - - 0 1,29,23,6
28,8/8/1K6/8/3R4/8/8/2k5 w - - 0 1,11,13,6
29,8/8/8/5K2/8/1k6/8/2R5 w - - 0 1,23,19,6
30,6K1/8/7R/k7/8/8/8/8 w - - 0 1,25,23,6
31,7R/8/8/8/8/K7/8/3k4 w - - 0 1,25,17,6
32,5K2/3R4/8/8/8/7k/8/8 w - - 0 1,25,15,6
33,1R6/8/8/4K2k/8/8/8/8 w - - 0 1,5,5,6
34,3K4/3R4/8/8/4k3/8/8/8 w - - 0 1,35,27,6
35,7k/8/8/8/2R5/6K1/8/8 w - - 0 1,21,11,6
36,8/8/R7/8/8/8/1k6/6K1 w - - 0 1,23,23,6
37,8/8/8/5R2/8/7K/2k5/8 w - - 0 1,29,21,6
38,8/8/8/8/8/3R4/2k5/K7 w - - 0 1,21,19,6
39,8/6K1/8/R7/8/2k5/8/8 w - - 0 1,27,27,6
40,8/6k1/8/8/8/2K5/5R2/8 w - - 0 1,21,17,6
41,8/K6R/8/8/3k4/8/8/8 w - - 0 1,29,27,6
42,8/3R4/8/8/8/2k5/8/6K1 w - - 0 1,35,25,6
43,3K4/8/8/2R5/3k4/8/8/8 w - - 0 1,37,29,6
44,8/8/4R3/3k4/6K1/8/8/8 w - - 0 1,29,25,6
45,8/8/8/8/4k1K1/5R2/8/8 w - - 0 1,25,25,6
46,8/8/8/3k4/4R3/8/1K6/8 w - - 0 1,27,27,6
47,8/8/3k4/8/5R2/8/8/4K3 w - - 0 1,23,27,6
48,2k5/8/8/8/8/1K6/8/R7 w - - 0 1,17,17,6
49,8/8/3R4/8/4k3/6K1/8/8 w - - 0 1,29,27,6
50,8/8/8/5k2/6R1/8/1K6/8 w - - 0 1,23,27,6
51,1k6/8/8/8/1K6/8/8/5R2 w - - 0 1,13,11,6
52,4R3/k7/8/4K3/8/8/8/8 w - - 0 1,13,13,6
53,7R/8/8/3k1K2/8/8/8/8 w - - 0 1,21,23,6
54,8/8/7R/8/4K3/2k5/8/8 w - - 0 1,31,19,6
55,k7/8/8/8/8/5R2/8/7K w - - 0 1,23,21,6
56,8/3K4/6k1/7R/8/8/8/8 w - - 0 1,15,15,6
57,K7/8/8/8/5k2/8/6R1/8 w - - 0 1,29,31,6
58,8/3K1R2/8/8/4k3/8/8/8 w - - 0 1,29,25,6
59,8/8/8/3k4/8/8/2K5/4R3 w - - 0 1,21,21,6
60,6K1/8/5R2/8/8/8/8/3k4 w - - 0 1,45,23,6
61,8/8/8/8/5K1k/8/8/2R5 w - - 0 1,1,1,6
62,R7/8/8/8/8/8/7k/3K4 w - - 0 1,25,11,6
63,8/4k3/8/8/8/8/5K2/3R4 w - - 0 1,21,21,6
64,8/3R4/8/8/1k6/7K/8/8 w - - 0 1,23,25,6
65,8/8/8/4K3/8/3R4/8/4k3 w - - 0 1,15,15,6
66,8/7K/8/8/3R4/8/8/5k2 w - - 0 1,19,19,6
67,8/5R2/8/K7/8/4k3/8/8 w - - 0 1,27,27,6
68,1K6/8/8/8/8/8/4k3/3R4 w - - 0 1,39,27,6
69,8/4R3/5K2/8/8/k7/8/8 w - - 0 1,21,17,6
70,k7/8/8/5R2/8/8/K7/8 w - - 0 1,13,13,6
71,8/5R2/1k6/8/8/8/7K/8 w - - 0 1,25,27,6
72,8/3R4/8/8/7k/8/2K5/8 w - - 0 1,21,19,6
73,8/k7/8/7R/8/8/7K/8 w - - 0 1,31,23,6
74,8/8/k7/8/8/8/2KR4/8 w - - 0 1,17,17,6
75,8/7R/8/2K5/8/8/8/4k3 w - - 0 1,17,15,6
76,5K2/8/8/8/6R1/7k/8/8 w - - 0 1,25,15,6
77,8/8/8/8/R7/8/K7/4k3 w - - 0 1,23,21,6
78,3K4/1R6/8/8/8/8/4k3/8 w - - 0 1,27,27,6
79,8/8/3K3R/8/8/8/6k1/8 w - - 0 1,33,21,6
80,8/6R1/4K3/8/7k/8/8/8 w - - 0 1,9,9,6
81,5K2/8/2k5/8/4R3/8/8/8 w - - 0 1,21,23,6
82,8/8/5R2/8/8/7K/2k5/8 w - - 0 1,29,21,6
83,8/R7/8/8/8/3K4/8/3k4 w - - 0 1,1,1,6
84,8/8/8/2K5/3R4/8/8/7k w - - 0 1,19,11,6
85,6k1/R7/8/8/8/8/1K6/8 w - - 0 1,19,17,6
86,8/8/8/8/7K/R7/6k1/8 w - - 0 1,17,17,6
87,3R4/8/8/8/1k6/7K/8/8 w - - 0 1,29,25,6
88,6R1/k7/8/8/1K6/8/8/8 w - - 0 1,13,11,6
89,7K/3k4/8/8/8/4R3/8/8 w - - 0 1,31,25,6
90,8/8/4K3/8/R7/8/8/3k4 w - - 0 1,15,17,6
91,8/8/2K5/8/6k1/8/8/4R3 w - - 0 1,21,21,6
92,8/8/8/7k/8/8/1R6/K7 w - - 0 1,21,23,6
93,8/K3k3/8/8/R7/8/8/8 w - - 0 1,21,21,6
94,8/8/8/7K/4k3/8/8/5R2 w - - 0 1,27,27,6
95,8/8/8/K7/2k5/8/8/4R3 w - - 0 1,21,21,6
96,K7/8/3R4/8/8/8/8/6k1 w - - 0 1,27,23,6
97,8/8/5k2/R7/8/8/6K1/8 w - - 0 1,41,25,6
98,k7/8/8/8/1R4K1/8/8/8 w - - 0 1,15,15,6
99,8/2k5/8/R7/8/8/2K5/8 w - - 0 1,23,23,6
100,8/8/8/3R4/8/7k/8/3K4 w - - 0 1,11,13,6
101,8/k7/8/8/6K1/8/8/7R w - - 0 1,33,17,6
102,8/5k2/7R/8/8/8/7K/8 w - - 0 1,21,21,6
103,4KR2/8/8/8/8/8/6k1/8 w - - 0 1,27,19,6
104,K4k2/8/8/8/8/8/8/1R6 w - - 0 1,25,17,6
105,8/3R4/8/8/8/K7/8/k7 w - - 0 1,1,1,6
106,1R6/8/8/8/4K3/8/8/7k w - - 0 1,5,5,6
107,8/8/5KR1/8/8/8/3k4/8 w - - 0 1,23,23,6
108,8/6k1/8/K7/8/8/R7/8 w - - 0 1,23,23,6
109,8/8/K7/8/8/6k1/5R2/8 w - - 0 1,23,25,6
110,6R1/8/K7/3k4/8/8/8/8 w - - 0 1,35,27,6
111,6K1/3k4/8/8/8/5R2/8/8 w - - 0 1,23,19,6
112,7K/1R6/8/8/k7/8/8/8 w - - 0 1,21,19,6
113,3k3K/7R/8/8/8/8/8/8 w - - 0 1,15,15,6
114,8/8/1R6/7K/8/8/6k1/8 w - - 0 1,19,11,6
115,7R/5K2/8/5k2/8/8/8/8 w - - 0 1,23,23,6
116,8/3R4/8/8/8/k5K1/8/8 w - - 0 1,23,19,6
117,8/6K1/8/7R/8/4k3/8/8 w - - 0 1,31,27,6
118,8/R7/8/2K5/8/8/2k5/8 w - - 0 1,17,15,6
119,5K2/8/8/5k2/8/8/8/R7 w - - 0 1,33,25,6
120,8/8/8/8/8/4K2k/3R4/8 w - - 0 1,3,3,6
