iteration,fen,heuristic,tablebase,depth
121,8/1k6/8/1KR5/8/8/8/8 w - - 0 1,7,7,6
122,8/8/8/6R1/1k6/8/2K5/8 w - - 0 1,15,13,6
123,8/8/8/2R5/8/8/8/1k4K1 w - - 0 1,19,19,6
124,8/8/3k3K/8/8/8/R7/8 w - - 0 1,23,25,6
125,8/6k1/8/8/8/1K6/8/5R2 w - - 0 1,23,21,6
126,8/8/8/4R3/2K5/8/8/5k2 w - - 0 1,15,15,6
127,8/2K5/4k3/8/8/6R1/8/8 w - - 0 1,19,21,6
128,8/8/k5K1/2R5/8/8/8/8 w - - 0 1,19,19,6
129,8/2K5/8/8/8/8/5k2/6R1 w - - 0 1,39,27,6
130,8/8/8/k7/8/8/6RK/8 w - - 0 1,21,23,6
131,8/8/1k6/5K2/8/8/3R4/8 w - - 0 1,19,19,6
132,4R3/8/8/8/8/8/2K5/k7 w - - 0 1,1,1,6
133,7R/8/5k2/8/8/8/8/6K1 w - - 0 1,33,25,6
134,4K3/2k5/8/8/8/7R/8/8 w - - 0 1,13,11,6
135,7K/4k3/6R1/8/8/8/8/8 w - - 0 1,21,17,6
136,8/7k/8/K7/1R6/8/8/8 w - - 0 1,23,21,6
137,2k5/8/8/7K/R7/8/8/8 w - - 0 1,17,17,6
138,8/R7/8/8/8/K3k3/8/8 w - - 0 1,25,25,6
139,8/7R/8/k7/8/2K5/8/8 w - - 0 1,19,13,6
140,1R6/8/8/8/2k5/8/5K2/8 w - - 0 1,25,25,6
141,4k3/8/8/8/8/5KR1/8/8 w - - 0 1,25,17,6
142,5k2/3R4/8/8/8/8/8/K7 w - - 0 1,19,21,6
143,8/7k/8/8/8/8/5K2/3R4 w - - 0 1,15,13,6
144,8/8/8/8/4K3/R7/8/3k4 w - - 0 1,11,11,6
145,8/1R3K2/8/8/8/8/8/7k w - - 0 1,23,17,6
146,8/8/8/3k4/8/2K5/7R/8 w - - 0 1,21,21,6
147,8/8/8/5k2/8/2R5/4K3/8 w - - 0 1,23,23,6
148,8/4K3/6k1/8/8/8/3R4/8 w - - 0 1,9,9,6
149,8/2R5/4k3/8/8/8/8/7K w - - 0 1,29,31,6
150,8/6k1/8/8/K3R3/8/8/8 w - - 0 1,35,23,6
151,8/8/3K1R2/8/8/8/6k1/8 w - - 0 1,17,17,6
152,5K2/8/8/1R6/8/5k2/8/8 w - - 0 1,29,25,6
153,8/8/8/8/7k/8/4RK2/8 w - - 0 1,15,15,6
154,1k6/8/8/8/4R3/8/6K1/8 w - - 0 1,21,21,6
155,8/4k3/8/8/8/8/2R4K/8 w - - 0 1,23,25,6
156,8/5k2/7K/8/8/3R4/8/8 w - - 0 1,19,19,6
157,k6K/8/8/5R2/8/8/8/8 w - - 0 1,21,15,6
158,8/8/8/8/1R6/8/2k5/4K3 w - - 0 1,15,15,6
159,2R5/k7/8/5K2/8/8/8/8 w - - 0 1,27,17,6
160,8/6k1/8/3R4/8/2K5/8/8 w - - 0 1,21,21,6
161,5K2/4R3/8/8/8/8/8/6k1 w - - 0 1,25,19,6
162,8/8/7K/3k4/8/8/4R3/8 w - - 0 1,31,27,6
163,5k2/8/1K6/8/8/8/8/4R3 w - - 0 1,21,19,6
164,8/8/8/8/8/R7/7k/3K4 w - - 0 1,11,9,6
165,K4R2/8/8/8/1k6/8/8/8 w - - 0 1,21,19,6
166,5k2/8/8/7R/8/8/8/K7 w - - 0 1,27,23,6
167,8/4R3/8/8/8/8/3K4/k7 w - - 0 1,3,3,6
168,8/8/8/K7/8/6k1/1R6/8 w - - 0 1,23,27,6
169,5k2/8/8/K7/8/8/3R4/8 w - - 0 1,21,19,6
170,4k3/5R2/8/8/8/8/6K1/8 w - - 0 1,19,19,6
171,5R2/8/7k/K7/8/8/8/8 w - - 0 1,25,23,6
172,3K4/8/8/6k1/8/7R/8/8 w - - 0 1,37,25,6
173,8/8/8/1K6/4R3/8/2k5/8 w - - 0 1,15,15,6
174,k7/8/7R/8/8/8/3K4/8 w - - 0 1,15,15,6
175,7R/8/8/8/4K3/8/8/2k5 w - - 0 1,11,11,6
176,2R5/8/8/8/3K4/8/8/7k w - - 0 1,17,11,6
177,8/8/8/8/k4KR1/8/8/8 w - - 0 1,21,19,6
178,8/2k5/8/8/8/8/3R2K1/8 w - - 0 1,35,25,6
179,8/8/8/8/2k5/7R/3K4/8 w - - 0 1,21,23,6
180,6R1/8/8/3k4/8/4K3/8/8 w - - 0 1,41,23,6
181,8/8/3K4/8/8/8/1k6/3R4 w - - 0 1,19,17,6
182,8/8/8/5RK1/8/8/6k1/8 w - - 0 1,9,7,6
183,8/1k6/8/4K3/8/8/8/5R2 w - - 0 1,15,13,6
184,8/8/8/7k/8/8/8/KR6 w - - 0 1,23,23,6
185,k7/8/8/8/8/8/6K1/2R5 w - - 0 1,21,19,6
186,8/8/8/1K6/8/6k1/1R6/8 w - - 0 1,31,23,6
187,8/8/3R4/6k1/8/8/2K5/8 w - - 0 1,37,25,6
188,8/8/8/3k4/8/8/RK6/8 w - - 0 1,23,27,6
189,8/8/2k1K3/8/8/8/8/3R4 w - - 0 1,15,15,6
190,K7/8/8/6R1/5k2/8/8/8 w - - 0 1,33,31,6
191,7K/8/8/8/6k1/8/8/R7 w - - 0 1,23,21,6
192,8/8/8/8/K7/4k3/1R6/8 w - - 0 1,17,25,6
193,8/8/8/2k1K3/8/8/5R2/8 w - - 0 1,21,19,6
194,8/2K5/8/6R1/8/7k/8/8 w - - 0 1,15,15,6
195,8/8/k7/7K/4R3/8/8/8 w - - 0 1,25,23,6
196,1k6/8/8/8/8/8/8/3R3K w - - 0 1,35,23,6
197,8/K7/8/2R5/6k1/8/8/8 w - - 0 1,45,27,6
198,3R4/5k2/8/K7/8/8/8/8 w - - 0 1,21,23,6
199,8/8/7k/8/8/1R6/8/7K w - - 0 1,17,15,6
200,8/K7/6R1/8/8/8/8/4k3 w - - 0 1,23,21,6
