iteration,fen,heuristic,tablebase,depth
86,8/8/8/6R1/3K4/7k/8/8 w - - 0 1,11,11,4
87,4R3/8/8/8/3K4/8/8/k7 w - - 0 1,5,5,4
88,8/8/8/2KR4/8/8/8/1k6 w - - 0 1,9,11,4
89,8/8/k7/8/3K4/3R4/8/8 w - - 0 1,9,11,4
90,8/8/R7/2K5/8/8/8/4k3 w - - 0 1,13,13,4
91,8/8/8/5k2/8/8/R7/5K2 w - - 0 1,17,23,4
92,6k1/R7/8/8/1K6/8/8/8 w - - 0 1,23,13,4
93,2k5/8/8/5K2/8/4R3/8/8 w - - 0 1,11,11,4
94,8/8/R7/8/8/1K1k4/8/8 w - - 0 1,21,23,4
95,8/8/8/8/7k/3K4/8/4R3 w - - 0 1,27,15,4
96,8/8/8/8/6K1/8/4k3/6R1 w - - 0 1,23,21,4
97,1R5K/8/8/2k5/8/8/8/8 w - - 0 1,23,29,4
98,8/6k1/8/4K3/8/8/2R5/8 w - - 0 1,7,13,4
99,8/5R2/8/8/8/8/8/K6k w - - 0 1,21,17,4
100,1R6/5k2/8/8/3K4/8/8/8 w - - 0 1,13,17,4
101,8/7k/8/R7/8/8/6K1/8 w - - 0 1,23,15,4
102,1R6/8/8/8/4k3/8/8/4K3 w - - 0 1,31,27,4
103,4R3/8/4K3/8/k7/8/8/8 w - - 0 1,13,13,4
104,8/3K4/8/8/8/8/5k2/4R3 w - - 0 1,19,21,4
105,k7/8/8/5R2/8/8/8/2K5 w - - 0 1,25,17,4
106,8/8/1R4K1/8/7k/8/8/8 w - - 0 1,15,15,4
107,8/8/8/8/5k2/R7/8/5K2 w - - 0 1,29,27,4
108,5R2/6k1/8/8/8/8/8/7K w - - 0 1,21,19,4
109,8/8/8/R7/8/6k1/8/2K5 w - - 0 1,15,17,4
110,6K1/2R5/8/8/8/8/8/4k3 w - - 0 1,35,23,4
111,8/8/3R4/8/8/k7/6K1/8 w - - 0 1,23,19,4
112,5R2/k7/4K3/8/8/8/8/8 w - - 0 1,15,11,4
113,8/4R3/8/8/8/3K4/k7/8 w - - 0 1,5,5,4
114,8/8/k7/8/4R3/8/4K3/8 w - - 0 1,17,15,4
115,8/3K4/8/8/8/4R3/8/3k4 w - - 0 1,25,23,4
116,1R6/8/2K5/8/8/5k2/8/8 w - - 0 1,39,23,4
117,8/8/k7/4R3/8/8/8/5K2 w - - 0 1,23,23,4
118,8/8/8/8/8/1k6/8/K4R2 w - - 0 1,21,19,4
119,5k2/8/8/4R3/8/8/2K5/8 w - - 0 1,27,19,4
120,5K2/8/k7/8/8/1R6/8/8 w - - 0 1,17,17,4
121,8/5K2/8/8/8/8/k7/7R w - - 0 1,23,23,4
122,4K3/8/R7/8/8/8/5k2/8 w - - 0 1,21,23,4
123,8/3R4/8/K7/4k3/8/8/8 w - - 0 1,27,27,4
124,5k1K/6R1/8/8/8/8/8/8 w - - 0 1,19,15,4
125,8/8/8/1k6/8/8/4KR2/8 w - - 0 1,23,25,4
126,8/8/5K2/8/8/4R3/1k6/8 w - - 0 1,47,19,4
127,8/8/8/8/1k3K2/8/R7/8 w - - 0 1,21,23,4
128,8/7R/3K4/6k1/8/8/8/8 w - - 0 1,21,19,4
129,8/8/8/1RK5/8/8/4k3/8 w - - 0 1,21,21,4
130,7k/8/3K4/8/8/8/8/4R3 w - - 0 1,11,9,4
131,8/1KR5/8/5k2/8/8/8/8 w - - 0 1,27,25,4
132,6K1/8/2k5/8/8/8/8/7R w - - 0 1,27,21,4
133,8/8/R7/4k3/6K1/8/8/8 w - - 0 1,21,27,4
134,R7/4k3/K7/8/8/8/8/8 w - - 0 1,27,25,4
135,3R4/8/7K/8/4k3/8/8/8 w - - 0 1,25,25,4
136,8/8/6K1/6R1/8/1k6/8/8 w - - 0 1,13,23,4
137,8/7k/8/6K1/R7/8/8/8 w - - 0 1,5,5,4
138,6K1/1k6/8/8/8/8/4R3/8 w - - 0 1,25,17,4
139,7K/7R/8/8/8/8/k7/8 w - - 0 1,27,23,4
140,8/8/2K5/8/8/8/2R5/k7 w - - 0 1,13,13,4
141,8/2R5/8/8/3k4/8/2K5/8 w - - 0 1,33,27,4
142,8/6R1/8/8/8/8/8/1K1k4 w - - 0 1,21,15,4
143,8/4K3/6R1/8/3k4/8/8/8 w - - 0 1,19,25,4
144,6R1/8/8/8/8/8/8/1k2K3 w - - 0 1,15,9,4
145,8/4k3/8/R6K/8/8/8/8 w - - 0 1,27,23,4
146,8/8/K7/8/8/6R1/8/1k6 w - - 0 1,25,17,4
147,k7/8/8/8/4R3/K7/8/8 w - - 0 1,17,13,4
148,8/3k4/4R3/8/2K5/8/8/8 w - - 0 1,17,17,4
149,8/2R5/7k/8/5K2/8/8/8 w - - 0 1,3,3,4
150,8/8/6K1/8/8/4k3/8/R7 w - - 0 1,29,25,4
151,R7/8/8/8/3k4/8/8/3K4 w - - 0 1,35,27,4
152,8/8/5k2/8/3R4/K7/8/8 w - - 0 1,29,25,4
153,8/8/3K4/8/8/5k2/6R1/8 w - - 0 1,25,25,4
154,8/8/8/8/8/K2k4/8/R7 w - - 0 1,35,27,4
155,8/8/7R/8/3k4/8/5K2/8 w - - 0 1,25,25,4
156,8/6K1/3R4/2k5/8/8/8/8 w - - 0 1,19,27,4
157,6k1/8/8/1R6/8/8/6K1/8 w - - 0 1,17,17,4
158,8/8/8/8/2K2R2/7k/8/8 w - - 0 1,15,13,4
159,8/8/8/8/8/8/k3K3/3R4 w - - 0 1,11,11,4
160,3k4/8/8/1R6/8/8/5K2/8 w - - 0 1,21,21,4
161,1K6/8/8/8/8/8/1k6/4R3 w - - 0 1,25,25,4
162,8/8/8/8/K7/R7/4k3/8 w - - 0 1,21,21,4
163,4R3/8/1k2K3/8/8/8/8/8 w - - 0 1,15,15,4
164,8/8/1k1K4/8/8/8/8/2R5 w - - 0 1,13,11,4
165,3k4/8/8/5R2/8/8/8/1K6 w - - 0 1,35,23,4
166,8/8/4R3/7K/8/8/7k/8 w - - 0 1,15,9,4
167,3k4/8/8/8/5R2/5K2/8/8 w - - 0 1,21,19,4
168,8/3R4/8/8/8/3K3k/8/8 w - - 0 1,11,13,4
169,8/8/8/8/7R/7K/8/1k6 w - - 0 1,21,19,4
170,4K3/8/3k4/8/8/2R5/8/8 w - - 0 1,21,27,4
171,8/8/R7/8/3k4/8/8/6K1 w - - 0 1,35,29,4
172,8/6K1/4R3/3k4/8/8/8/8 w - - 0 1,15,27,4
173,8/5k2/8/8/3K4/8/8/3R4 w - - 0 1,11,17,4
174,8/8/8/5k2/8/R7/8/7K w - - 0 1,31,27,4
175,8/8/6K1/8/8/4R3/k7/8 w - - 0 1,49,19,4
176,8/8/5k2/8/8/8/2R5/2K5 w - - 0 1,27,27,4
177,8/8/8/2k5/8/3R4/5K2/8 w - - 0 1,29,23,4
178,8/8/8/8/4k3/5R2/7K/8 w - - 0 1,31,29,4
179,8/8/7K/4k3/6R1/8/8/8 w - - 0 1,21,25,4
180,8/4R2K/8/7k/8/8/8/8 w - - 0 1,21,13,4
181,5K2/8/k7/8/5R2/8/8/8 w - - 0 1,9,17,4
182,8/8/8/1R6/8/8/3K4/7k w - - 0 1,11,9,4
183,8/8/8/5K2/5R2/k7/8/8 w - - 0 1,21,19,4
184,8/8/8/4R3/8/4K3/8/7k w - - 0 1,3,3,4
185,8/8/8/8/8/6KR/k7/8 w - - 0 1,25,15,4
186,8/4K3/7k/8/8/8/2R5/8 w - - 0 1,5,5,4
187,2k5/8/8/K7/5R2/8/8/8 w - - 0 1,9,11,4
188,1k6/3R4/7K/8/8/8/8/8 w - - 0 1,23,15,4
189,8/2k5/8/4K3/R7/8/8/8 w - - 0 1,27,17,4
190,2k5/8/7R/5K2/8/8/8/8 w - - 0 1,11,11,4
191,6R1/8/3K4/8/8/8/8/1k6 w - - 0 1,11,17,4
192,7K/8/8/8/8/8/6R1/k7 w - - 0 1,19,19,4
193,8/8/8/1R6/8/3k4/1K6/8 w - - 0 1,25,21,4
194,8/6R1/K7/8/5k2/8/8/8 w - - 0 1,25,29,4
195,8/8/1R6/8/8/k3K3/8/8 w - - 0 1,11,11,4
196,8/8/k7/7R/8/8/8/3K4 w - - 0 1,23,23,4
197,6K1/8/8/8/8/1R6/8/4k3 w - - 0 1,23,23,4
198,8/8/8/6K1/8/2k5/8/6R1 w - - 0 1,29,25,4
199,8/8/8/8/8/6k1/8/3R3K w - - 0 1,21,19,4
200,7k/8/8/8/8/1K6/8/6R1 w - - 0 1,15,15,4
